Species,Max-Elevation_m,Min_Body_mass_g,Max_Body_mass_g,min-length-cm,max-length-cm,Beak.Length_Culmen,Beak.Width,Wing.Length,Mass,Trophic.Level,Trophic.Niche,Habitat,Habitat.Density,Migration,Primary.Lifestyle,Longitude,Latitude,Location,Province,Country,Continent,Years_sampling,Environment,Sites_code,Tissue,Digestion method,Temp (Degree Celcius),Identification,Number_of_species,Number_of_MP_detected_in_species,Average_weight (gm),Wing size (mm),Average_age,TNMP,Mppersp,Includes_microplastic,Level,Mpperg,ng/g,particle /mg,Size MP (mm),20-50,50-100,100-500,500-1000,>1000,Films,Foam,Fragments,Fiber/thread,Pellets,Others,Cellulose,PE,Acrylic,PP,PA,PS,PVC,Nylon,PET,PES,Rayon,Cotton,Polyacrylic,Others,Blue,Transparent/white,Yellow,Red/Brown,black,Others,total
Sterna dougallii,18 ,265.00 ,365.00 ,40.00 ,50.00 ,45.30 ,3.60 ,223.80 ,112.00 ,Carnivore,Aquatic predator,Marine,3,3,Aerial,-70.01 ,41.54 ,Monomoy National Wildlife Refuge,,United States of America,North America,2019,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sterna dougallii,18 ,265.00 ,365.00 ,40.00 ,50.00 ,45.30 ,3.60 ,223.80 ,112.00 ,Carnivore,Aquatic predator,Marine,3,3,Aerial,-74.21 ,39.64 ,Barnegat Bay Islands,,United States of America,North America,2019,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciconia ciconia,3500 ,5000.00 ,10000.00 ,100.00 ,115.00 ,189.10 ,23.50 ,565.60 ,3445.80 ,Carnivore,Omnivore,Grassland,3,3,Terrestrial,-6.14 ,36.59 ,Cadiz Bay,Cadiz,Spain,Europe,2021,,Salt ponds,,,,,22,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciconia ciconia,3500 ,5000.00 ,10000.00 ,100.00 ,115.00 ,189.10 ,23.50 ,565.60 ,3445.80 ,Carnivore,Omnivore,Grassland,3,3,Terrestrial,-6.14 ,36.59 ,Cadiz Bay,Cadiz,Spain,Europe,2022,,evaporation ponds,,,,,20,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buteo lineatus,2500 ,500.00 ,700.00 ,43.00 ,61.00 ,33.10 ,11.80 ,319.00 ,603.70 ,Carnivore,Vertivore,Woodland,1,3,Aerial,-81.74 ,28.42 ,"Audubon Center, Maitland",Florida,USA,North America,2018,,,26.26,,,,28,,,,,,24.03,Y,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandion haliaetus,1000 ,1200.00 ,2000.00 ,55.00 ,58.00 ,47.00 ,17.30 ,468.40 ,1483.20 ,Carnivore,Aquatic predator,Marine,3,3,Aerial,-81.74 ,28.42 ,"Audubon Center, Maitland",Florida,USA,North America,2018,,,56.47,,,,16,,,,,,19.26,Y,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strix varia,3100 ,630.00 ,800.00 ,48.00 ,51.00 ,38.80 ,11.20 ,341.20 ,711.50 ,Carnivore,Vertivore,Forest,2,1,Insessorial,-81.74 ,28.42 ,"Audubon Center, Maitland",Florida,USA,North America,2018,,,,,,,8,,,,,,6.14,Y,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megascops asio,1500 ,600.00 ,1000.00 ,96.00 ,154.00 ,22.00 ,6.40 ,168.50 ,180.00 ,Carnivore,Invertivore,Woodland,2,1,Insessorial,-81.74 ,28.42 ,"Audubon Center, Maitland",Florida,USA,North America,2018,,,,,,,4,,,,,,9.82,Y,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coragyps atratus,2800 ,2000.00 ,2700.00 ,,,60.00 ,14.80 ,410.10 ,1881.70 ,Omnivore,Scavenger,Human modified,3,2,Terrestrial,-81.74 ,28.42 ,"Audubon Center, Maitland",Florida,USA,North America,2018,,,,,,,2,,,,,,9.32,Y,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathartes aura,4300 ,850.00 ,2000.00 ,64.00 ,81.00 ,51.50 ,14.30 ,508.50 ,1518.20 ,Scavenger,Scavenger,Human modified,3,2,Terrestrial,-81.74 ,28.42 ,"Audubon Center, Maitland",Florida,USA,North America,2018,,,,,,,2,,,,,,17.66,Y,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buteo jamaicensis,3200 ,795.00 ,1224.00 ,45.00 ,65.00 ,37.60 ,14.40 ,402.80 ,1101.20 ,Carnivore,Vertivore,Woodland,2,3,Insessorial,-81.74 ,28.42 ,"Audubon Center, Maitland",Florida,USA,North America,2018,,,,,,,2,,,,,,0.16,Y,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter cooperii,3480 ,280.00 ,566.00 ,35.00 ,50.00 ,25.40 ,8.60 ,241.20 ,429.70 ,Carnivore,Vertivore,Woodland,2,3,Aerial,-81.74 ,28.42 ,"Audubon Center, Maitland",Florida,USA,North America,2018,,,,,,,1,,,,,,8.66,Y,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sterna hirundo,4000 ,,120.00 ,,37.00 ,44.50 ,3.80 ,253.30 ,129.20 ,Carnivore,Aquatic predator,Marine,3,3,Aerial,-56.77 ,-36.29 ,Punta Rasa,Bahia Samborombom,Buenos Aires,South America,2020,,,GIT,,,,10,,,,,82,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sterna hirundo,4000 ,,120.00 ,,37.00 ,44.50 ,3.80 ,253.30 ,129.20 ,Carnivore,Aquatic predator,Marine,3,3,Aerial,-56.77 ,-36.29 ,Punta Rasa,Bahia Samborombom,Buenos Aires,South America,2020,,,RP,,,,53,,,,,28,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corvus splendens,,,,,,49.70 ,13.90 ,258.20 ,292.60 ,Omnivore,Omnivore,Human modified,3,1,Terrestrial,78.16 ,11.65 ,Salem,Tamil Nadu,India,Asia,2021,,,,,,,,,,,,264,2.64,Y,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulmarus glacialis,300 ,450.00 ,1000.00 ,45.00 ,50.00 ,41.30 ,11.90 ,321.10 ,611.90 ,Carnivore,Aquatic predator,Marine,3,3,Aquatic,17.73 ,79.31 ,Kongsfjorden,,,Europe,1997,Marine,ALL,,,,,43,,,,,,10.3,Y,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulmarus glacialis,300 ,450.00 ,1000.00 ,45.00 ,50.00 ,41.30 ,11.90 ,321.10 ,611.90 ,Carnivore,Aquatic predator,Marine,3,3,Aquatic,17.73 ,79.31 ,Kongsfjorden,,,Europe,1997,Marine,Male,,,,,20,,,,,,7.1,Y,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
